tg,drive_amp,detune,f_300_200_True,f_300_1000_True,f_noise_9_2us,f_noise_100_5us,f_noise_100_50us,f_ideal_70
20.047153,0.019435,0.007273,-0.29475819,-0.29480261,-0.297728,-0.2980808,-0.29835193,-0.29837929
26.101697,0.045995,0.027267,-0.50787978,-0.60069812,-0.60323003,-0.6120436,-0.61646928,-0.61705774
32.046892,0.040078,0.029708,-0.78210282,-0.84293565,-0.81090537,-0.8305956,-0.84088479,-0.8422106
38.041642,0.033338,0.030435,-0.87490762,-0.87250889,-0.87071674,-0.89574575,-0.90871878,-0.91038205
44.030707,0.027548,0.028865,-0.8959432,-0.89471091,-0.88169714,-0.90852906,-0.92222062,-0.92390231
50.072552,0.023108,0.026995,-0.88945834,-0.88952079,-0.86732381,-0.89380517,-0.90714655,-0.90883192
56.09293,0.03395,0.026046,-1.09270777,-1.06342212,-0.97111791,-1.03032323,-1.06096162,-1.0650112
62.05406,0.030092,0.026695,-1.3367285,-1.30488153,-1.13241246,-1.22872688,-1.28083203,-1.28799424
68.038002,0.026412,0.026634,-1.58896108,-1.57413723,-1.28259374,-1.43277418,-1.51927144,-1.53220996
74.046742,0.023287,0.026334,-1.91406049,-1.90852346,-1.42998087,-1.66634589,-1.8241021,-1.85097114
80.075366,0.020755,0.026011,-2.40405833,-2.39863294,-1.5616022,-1.92556471,-2.25631966,-2.32693909
86.098006,0.018598,0.025596,-3.04625015,-3.03872686,-1.6492091,-2.09583998,-2.74684867,-3.03412355
91.94156,0.016951,0.02508,-2.63047585,-2.62354321,-1.65203622,-2.04891309,-2.53107757,-2.67616251
97.927037,0.015593,0.023897,-2.2216819,-2.21369057,-1.60573505,-1.9084399,-2.18006572,-2.23689543
104.0629,0.014504,0.021787,-2.22725361,-2.2291423,-1.60756723,-1.90473587,-2.17060909,-2.22680895
110.014433,0.01363,0.020714,-2.5721105,-2.57932232,-1.66920998,-2.05451597,-2.4595036,-2.56493307
116.087948,0.012801,0.020071,-3.07740722,-3.08067203,-1.71869053,-2.13084858,-2.77784721,-3.07742333
121.917538,0.012092,0.019415,-3.11787367,-3.10000068,-1.73103298,-2.13924715,-2.8039835,-3.12906365
127.982544,0.011424,0.018543,-3.01019921,-2.9975935,-1.73241879,-2.12663274,-2.74618467,-3.01577725
134.045327,0.010845,0.017713,-3.1657849,-3.15671052,-1.74150876,-2.14082252,-2.81905654,-3.16842299
140.019538,0.01031,0.01705,-3.37354202,-3.34329122,-1.75258117,-2.17767735,-2.92967359,-3.38768579
146.02026,0.009837,0.016406,-3.37562434,-3.34636032,-1.75544169,-2.15253289,-2.89963632,-3.38847512
151.989666,0.009403,0.015775,-3.43030771,-3.39892641,-1.757911,-2.1515117,-2.91246847,-3.44053765
158.042842,0.008999,0.015168,-3.67505493,-3.63092153,-1.76175702,-2.15613016,-2.9672171,-3.68543771
164.010081,0.008634,0.014647,-3.90149565,-3.82987101,-1.76410453,-2.15666416,-2.99842495,-3.91671181
170.026627,0.008296,0.01413,-3.99044011,-3.92704632,-1.76347217,-2.15496879,-3.03325403,-3.99909647
175.990284,0.007985,0.01366,-4.18856979,-4.11122124,-1.76295671,-2.14889744,-3.01277631,-4.19451469
182.000383,0.007692,0.013213,-4.35918003,-4.25806475,-1.76165327,-2.14407578,-3.01615346,-4.36098791
187.99595,0.007421,0.0128,-4.23237257,-4.1573189,-1.75922023,-2.13710083,-3.00357901,-4.23018859
194.002917,0.007169,0.012408,-4.09380626,-4.04234357,-1.75603012,-2.12943211,-2.98788537,-4.08850548
200.001076,0.006936,0.012052,-3.94183644,-3.90319705,-1.75257683,-2.12127655,-2.96810955,-3.93597687
