hspace,tphi_50us_02
0,0.0
1,8.02509728356232e-10
2,2e-05
4,2.9812548092876014e-09
5,6.214327928075269e-06
7,2.005409445470348e-09
8,1.2222223848130242e-06
11,6.103511544649843e-08
12,2.505141671824109e-06
16,5.176362487299039e-07
17,6.638400423413203e-10
18,6.754968647112649e-07
21,3.6386133944572686e-07
23,3.116864390551472e-05
25,1.5224522017824278e-06
27,4.981975583401124e-07
30,2.6742092088540202e-06
31,3.3083411108577176e-07
32,2.021529532355058e-07
33,6.520177619666722e-08
37,1.7926863208300274e-06
38,7.11927500690839e-08
40,8.298124331170578e-07
41,6.452774349044417e-08
42,2.5637749964693477e-08
45,2.1760784151247527e-06
46,3.0419931339350465e-07
47,2.666847539319293e-07
48,9.789276099757002e-07
51,5.713181312043958e-07
52,4.805730159523033e-07
56,1.1829877823446212e-07
59,3.08515397088323e-07
62,3.805214862688497e-06
63,5.939686564961549e-07
64,2.387341718672612e-07
65,4.4926834432584476e-07
67,2.967387138402144e-06
72,1.1199668477128045e-06
73,1.1330460991706774e-06
74,1.5823147561400416e-07
76,2.503134814343436e-08
78,4.553682261969969e-06
79,1.0652896778373408e-07
82,8.843000113612089e-07
83,3.5997863536271533e-07
85,1.1018655364578913e-07
87,3.643340573667644e-07
88,9.234626755769036e-07
90,8.841557990505956e-09
92,2.443361508071138e-07
93,1.1697806909085528e-06
96,8.123082372201479e-08
97,2.0073060871508671e-07
98,1.5940189835580272e-07
102,1.846333519443898e-05
103,7.575270310761313e-07
106,7.616944183283043e-07
107,5.284138994277143e-07
112,3.3919598788255753e-07
114,1.0672031220627846e-06
118,4.20459877402935e-07
119,2.0129988624089673e-06
120,7.35719350145767e-09
121,9.430162981416456e-08
122,3.9614434218868634e-08
123,1.269086262962777e-06
124,6.304044129474587e-07
127,3.2049461527643163e-07
128,2.886115351806155e-08
131,1.0152578592745667e-07
132,1.0098336925707495e-07
133,4.701573760113468e-07
134,5.040369626459715e-07
137,2.0860794981055502e-06
138,1.0371528154004815e-06
142,2.2222467016633678e-08
143,1.7731983552041234e-07
150,2.804262345609595e-07
151,2.6775910305337264e-07
154,4.2985670566013515e-07
155,4.96957808805163e-07
156,5.883031955850401e-07
157,2.9151468546878413e-07
158,3.946526476938768e-07
161,1.4718586183716848e-07
162,4.671690957606176e-07
163,4.6152682900013676e-07
166,3.905446803946788e-08
170,4.6667254789699075e-07
171,2.190953820856527e-06
174,1.747071355612507e-07
175,1.1207691980285689e-07
176,9.369109470551097e-07
177,8.529642955752244e-07
179,1.5506880751863471e-06
180,5.52773088652447e-07
186,2.6386285508172763e-07
187,4.661579181970107e-08
188,2.1212857404683778e-08
191,5.782478744247581e-08
192,1.9776910367635396e-07
195,7.6391303623677e-07
196,7.482958180843816e-07
199,4.64706895451106e-09
202,3.7190886844210707e-07
203,5.8549647627999824e-08
206,2.8969021361862245e-08
207,7.389327237929861e-08
208,1.0122202819758412e-07
210,1.3143767339806783e-06
213,1.6802987748818564e-06
214,3.7782960747798525e-06
218,4.894084264345749e-07
219,5.389174901653096e-07
220,3.8654373225160435e-08
221,3.56573754198749e-08
222,3.67166795842835e-08
225,6.820025765605907e-07
226,2.101971486913878e-07
230,1.4489067388826947e-08
231,9.3281361448701e-07
232,7.43747668271835e-07
236,5.727522656836947e-08
237,1.666172429767221e-07
238,2.5600466980455093e-08
242,1.312498649029147e-07
243,1.2983191405878763e-07
246,2.569342780439943e-07
247,3.9850007538813377e-07
248,1.6961362073764547e-07
251,2.284193018506109e-07
252,2.242310942849843e-07
258,8.385426072272448e-08
259,1.97012848306694e-07
260,2.0161404062955918e-07
262,4.719533564161707e-07
263,1.1828323882256556e-07
264,4.2962577059127525e-08
270,2.3807296314013823e-07
271,2.2520556465895645e-07
274,2.4235712358805204e-07
275,8.602077026418328e-07
279,2.1373953866010368e-07
280,1.6357634478643473e-06
281,1.246204338312251e-06
283,7.382684437570241e-08
284,7.179747227749159e-08
285,4.663673075850219e-08
288,1.9495005713976686e-06
289,3.1328760029109764e-07
290,3.1255909190664646e-07
294,2.8626032731125104e-06
296,3.1557314504778533e-06
297,1.8239303457953505e-07
298,1.0554045971182011e-07
299,8.92126417682471e-08
300,8.69595939872964e-08
301,8.408653165697453e-08
302,8.541568274291474e-08
307,1.3677623070825353e-07
308,1.2569780919796006e-07
312,1.252397964967526e-06
313,1.0499768272868289e-06
314,2.537202423327485e-07
315,2.2320959224720694e-07
324,3.6084957041765565e-08
325,3.564502328170166e-08
326,1.359353235551216e-07
327,1.3218959416936276e-07
328,1.2634720143982268e-07
333,8.487690370785738e-08
334,7.212742559838521e-07
337,1.6994411789628792e-06
338,7.539049492484721e-07
339,5.995014481802253e-08
340,6.002430021446894e-08
345,6.217170508112363e-08
346,4.326161292113008e-07
347,7.711906448064198e-07
348,2.2312871816460806e-07
350,4.7020430704705384e-08
351,4.5856740146996237e-08
354,3.359440446042743e-07
355,3.454707455507272e-07
358,1.4717084609045181e-06
359,1.1381557676209975e-06
364,1.07499221010955e-09
365,1.0281434140068151e-09
366,1.1681262168887884e-06
367,1.336004227038102e-06
372,2.279379750431906e-07
373,1.341174199967075e-07
374,5.82528772127875e-08
375,3.4031743549237515e-07
376,3.634991963504042e-07
377,1.5380141357888508e-07
378,1.5354920169243102e-07
381,2.258753660162511e-08
384,2.344239081229156e-06
385,2.781942618719132e-07
388,4.222843256219259e-08
389,8.667938769258047e-08
390,8.565620901541026e-08
398,7.638101203752337e-08
399,7.870228175657908e-08
400,1.483692653610577e-06
401,1.4848561194374166e-06
407,2.998366588427116e-07
408,3.51382441070565e-07
410,2.288860540160695e-06
411,3.2134753665764415e-06
413,1.0285929649491527e-07
414,7.429794624156565e-08
418,1.9955453057244814e-07
419,2.6127443763728796e-07
420,9.842571513682361e-08
425,1.0252577115823314e-07
426,1.004131455845706e-07
427,6.976910401889634e-07
428,6.937319448838401e-07
431,2.150934642116626e-07
432,2.1063257805295217e-07
433,3.8295374894840785e-09
436,6.328530013895964e-08
437,6.329474086994146e-08
438,5.898346191641365e-07
439,8.370619758763154e-07
442,3.8854507801599805e-08
446,7.338734427109729e-09
447,8.459657730106472e-09
450,1.6329037139838478e-08
451,2.3380746427475123e-08
452,5.463200170944805e-08
453,1.9878286314099252e-07
454,2.297864208726225e-07
455,2.29540257000914e-08
459,1.502363085776107e-07
460,1.517383877982513e-07
463,2.9990964520044386e-07
464,2.98598226647723e-07
467,4.837558457635264e-07
468,2.6811416953246663e-07
472,1.0410866600953691e-08
473,1.3316467144188024e-07
474,8.776613672315657e-08
475,7.067947673570841e-07
476,6.914888874542145e-07
486,6.6027627398792526e-09
488,1.1689441707414311e-07
489,1.2965283955046194e-07
492,2.421566972996765e-07
493,3.8707019952492603e-07
494,4.2442885343266064e-07
496,8.932343234968135e-07
497,8.65985751918737e-08
