tg,drive_amp_1,drive_amp_2,detune_1,detune_2
19.991738,0.265505,0.173725,0.409908,0.46094
29.992774,0.216746,0.203921,0.390108,0.424457
40.014972,0.221317,0.15683,0.356421,0.385437
49.990204,0.216249,0.146398,0.354636,0.376272
59.994352,0.21342,0.142938,0.359182,0.378016
69.991101,0.209222,0.132819,0.353474,0.369706
80.007155,0.210573,0.122946,0.355789,0.37113
90.01624,0.220055,0.114891,0.351442,0.376879
99.992682,0.21171,0.114339,0.340293,0.362583
110.011473,0.211458,0.107187,0.3418,0.362944
120.004766,0.209273,0.104767,0.341188,0.360503
129.994338,0.201145,0.097552,0.342851,0.352922
140.012031,0.211826,0.099273,0.337995,0.362261
150.007919,0.205342,0.094834,0.33945,0.355479
159.99718,0.209025,0.091503,0.337985,0.359217
170.015226,0.207828,0.089482,0.337093,0.357569
180.009054,0.211062,0.084527,0.335598,0.360509
190.012397,0.209734,0.083821,0.335412,0.359237
200.012403,0.201634,0.082082,0.339457,0.352188
