tg,drive_amp_1,drive_amp_2,detune_1,detune_2
10.112276,0.417301,0.074364,-0.088062,-0.047291
15.072566,0.305038,0.065019,-0.032653,-0.013751
20.042302,0.240822,0.059239,-0.019354,-0.009576
25.020839,0.180407,0.046271,-0.00388,0.001457
30.008808,0.14528,0.038018,0.000574,0.004073
34.999115,0.121822,0.032289,0.001887,0.004315
39.991616,0.105045,0.028058,0.002171,0.003988
45.572956,0.091008,0.024458,0.002102,0.003482
50.27328,0.081876,0.022072,0.001951,0.003063
55.267933,0.073988,0.020007,0.001756,0.002668
59.087483,0.068953,0.018674,0.001617,0.002406
64.670379,0.062731,0.01702,0.001421,0.002078
69.959473,0.057783,0.015701,0.00126,0.001814
79.950593,0.050314,0.013698,0.001007,0.001429
89.941985,0.04458,0.01215,0.000823,0.001153
99.933634,0.040024,0.010919,0.000683,0.000948
109.925523,0.036323,0.009914,0.000574,0.000793
119.917477,0.033251,0.00908,0.000489,0.000672
